Filename,Index,X Min [m],X Max [m],Contour Length [m],Bending Length [m],Stretch Modulus,Residual RMS [N],Breaking Force [N],Critical Loading Rate [N/s]
force-save-2023.07.02-15.32.59.125.jpk-force,0,2.68347e-08,2.66414e-07,3.66902e-07,2.15961e-10,,6.50584e-12,7.26013e-11,1.76805e-09
force-save-2023.07.02-15.32.59.125.jpk-force,1,5.23289e-07,2.75065e-06,3.36039e-06,8.01715e-10,,8.74772e-12,4.19067e-11,1.78947e-10
force-save-2023.07.02-15.33.29.558.jpk-force,0,1.18125e-07,1.1739e-06,1.34794e-06,2.75143e-10,,1.41359e-11,2.33645e-10,3.40828e-09
force-save-2023.07.02-15.33.29.558.jpk-force,1,1.25984e-06,1.99784e-06,2.51683e-06,2.64295e-11,,4.69299e-11,1.00039e-09,4.61809e-09
force-save-2023.07.02-15.33.29.558.jpk-force,2,2.00979e-06,2.09485e-06,2.7465e-06,1.83748e-11,,7.74925e-12,1.10974e-09,4.07452e-09
force-save-2023.07.02-16.47.50.445.jpk-force,0,4.33018e-08,4.26938e-07,5.22152e-07,3.00984e-10,,7.7837e-12,1.10591e-10,2.8541e-09
force-save-2023.07.02-16.48.12.721.jpk-force,0,1.05148e-07,1.04031e-06,1.37976e-06,1.30911e-10,,1.28107e-11,1.45725e-10,1.04785e-09
force-save-2023.07.02-16.49.04.471.jpk-force,0,3.16643e-07,2.87113e-06,4640.64,1.64324e-19,,9.43084e-12,2.32241e-11,1.13598e-11
force-save-2023.07.02-16.49.54.365.jpk-force,0,1.0526e-07,9.64755e-07,1.45149e-06,1.93581e-10,,7.50479e-12,5.6094e-11,2.90294e-10
force-save-2023.07.02-16.51.48.716.jpk-force,0,5.65499e-08,5.64392e-07,9.11433e-07,3.14779e-11,,1.00676e-11,2.73784e-10,2.00866e-09
force-save-2023.07.02-16.51.48.716.jpk-force,1,5.84069e-07,7.14889e-07,1.10596e-06,3.13979e-11,,7.96056e-12,3.141e-10,2.03026e-09
force-save-2023.07.02-16.51.57.823.jpk-force,0,5.78143e-08,5.7556e-07,8.11166e-07,2.8207e-11,,1.38879e-11,4.99525e-10,5.07845e-09
force-save-2023.07.02-16.51.57.823.jpk-force,1,5.84545e-07,6.0085e-07,8.39567e-07,3.77557e-11,,9.22796e-12,3.87918e-10,3.97734e-09
force-save-2023.07.02-16.51.57.823.jpk-force,2,6.08128e-07,6.4142e-07,8.86637e-07,3.58296e-11,,7.01691e-12,4.2989e-10,4.27369e-09
force-save-2023.07.02-16.51.57.823.jpk-force,3,6.57703e-07,7.64032e-07,1.01837e-06,2.6912e-11,,1.97273e-11,6.8958e-10,6.39285e-09
force-save-2023.07.02-16.51.57.823.jpk-force,4,8.21441e-07,1.16793e-06,1.34619e-06,9.64295e-11,,2.64745e-11,6.35021e-10,8.46826e-09
force-save-2023.07.02-16.51.57.823.jpk-force,5,1.17589e-06,1.18863e-06,1.44001e-06,1.00855e-10,,1.24107e-11,3.58336e-10,3.64677e-09
force-save-2023.07.02-16.51.57.823.jpk-force,6,1.20459e-06,1.2803e-06,1.51378e-06,1.2748e-10,,7.42475e-12,3.58583e-10,3.9443e-09
force-save-2023.07.02-16.51.57.823.jpk-force,7,1.29882e-06,1.44147e-06,1.74069e-06,5.19043e-11,,1.1216e-11,7.16822e-10,5.88352e-09
force-save-2023.07.02-16.51.57.823.jpk-force,8,1.45564e-06,1.50715e-06,2.08723e-06,2.15323e-11,,8.75417e-12,7.09032e-10,3.04689e-09
force-save-2023.07.02-16.51.57.823.jpk-force,9,1.51914e-06,1.57382e-06,1.9722e-06,3.89808e-11,,9.39213e-12,7.04897e-10,4.40939e-09
force-save-2023.07.02-16.51.57.823.jpk-force,10,1.57697e-06,1.586e-06,1.99743e-06,3.89257e-11,,7.66127e-12,6.80666e-10,4.13683e-09
force-save-2023.07.02-16.51.57.823.jpk-force,11,1.60098e-06,1.61099e-06,1.75787e-06,3.79974e-10,,9.2531e-12,3.95143e-10,6.75329e-09
force-save-2023.07.02-16.51.57.823.jpk-force,12,1.62252e-06,1.62891e-06,7.72785,7.40476e-18,,7.56235e-12,1.75781e-10,1.55547e-10
force-save-2023.07.02-16.51.57.823.jpk-force,13,1.63234e-06,1.64499e-06,1.77983e-06,1.31994e-09,,6.32747e-12,1.37941e-10,2.77505e-09
force-save-2023.07.02-16.51.57.823.jpk-force,14,1.66266e-06,1.77627e-06,1.97204e-06,3.7672e-10,,8.22681e-12,2.84307e-10,3.83012e-09
force-save-2023.07.02-16.51.57.823.jpk-force,15,1.77949e-06,1.78827e-06,1.95342e-06,5.97049e-10,,7.67482e-12,2.45724e-10,3.93861e-09
force-save-2023.07.02-16.51.57.823.jpk-force,16,1.8057e-06,1.86959e-06,2.06131e-06,9.44752e-10,,6.35118e-12,1.2878e-10,1.84115e-09
force-save-2023.07.02-16.52.04.029.jpk-force,0,1.11181e-07,1.11387e-06,1.25353e-06,2.79417e-10,,1.04972e-11,3.06118e-10,5.55617e-09
force-save-2023.07.02-16.52.04.029.jpk-force,1,1.12758e-06,1.22154e-06,1.51754e-06,7.22065e-11,,1.1104e-11,4.06241e-10,3.48229e-09
force-save-2023.07.02-16.52.04.029.jpk-force,2,1.3201e-06,2.08013e-06,2.21722e-06,9.78662e-10,,1.37622e-11,2.77945e-10,5.2642e-09
force-save-2023.07.02-16.52.04.029.jpk-force,3,2.08992e-06,2.14644e-06,2.35141e-06,5.97914e-10,,5.25448e-12,2.31083e-10,3.02561e-09
force-save-2023.07.02-16.52.04.029.jpk-force,4,2.17441e-06,2.39659e-06,2.80722e-06,8.9929e-11,,2.13756e-11,5.62474e-10,3.54931e-09
force-save-2023.07.02-16.52.04.029.jpk-force,5,2.42109e-06,2.5409e-06,2.82852e-06,1.90298e-10,,1.52697e-11,5.37007e-10,4.81903e-09
force-save-2023.07.02-16.52.35.350.jpk-force,0,2.04663e-07,2.04273e-06,2.3533e-06,1.16469e-09,,7.99175e-12,5.29168e-11,4.66763e-10
force-save-2023.07.02-16.52.41.660.jpk-force,0,1.93078e-07,1.92558e-06,2.37062e-06,7.8776e-10,,8.44222e-12,4.00065e-11,2.40381e-10
force-save-2023.07.02-16.52.41.660.jpk-force,1,1.9789e-06,2.38761e-06,2.57366e-06,7.56291e-10,,1.60703e-11,2.64086e-10,3.74499e-09
force-save-2023.07.02-16.52.41.660.jpk-force,2,2.39588e-06,2.45582e-06,2.87287e-06,1.74401e-10,,7.89362e-12,2.94275e-10,1.86913e-09
force-save-2023.07.02-16.59.24.890.jpk-force,0,1.9798e-07,1.96751e-06,2.36811e-06,1.30033e-10,,1.28245e-11,2.9494e-10,1.75147e-09
force-save-2023.07.02-16.59.24.890.jpk-force,1,2.0202e-06,2.37017e-06,3.02177e-06,4.28708e-11,,1.01065e-11,5.67562e-10,2.01996e-09
force-save-2023.07.02-16.59.24.890.jpk-force,2,2.40918e-06,2.58492e-06,3.34e-06,3.04676e-10,,6.26332e-12,7.31679e-11,2.31797e-10
force-save-2023.07.02-17.00.37.997.jpk-force,0,3.1165e-08,2.90891e-07,3.87559e-07,2.48307e-10,,8.23308e-12,7.49145e-11,1.98408e-09
force-save-2023.07.02-17.01.17.956.jpk-force,0,3.22551e-07,3.21112e-06,3.48551e-06,3.38432e-09,,6.82915e-12,4.98843e-11,5.01306e-10
force-save-2023.07.02-17.01.37.095.jpk-force,0,2.25935e-07,2.2528e-06,2.57664e-06,1.24906e-09,,8.22601e-12,5.42159e-11,4.49196e-10
force-save-2023.07.02-17.01.37.095.jpk-force,1,2.26084e-06,2.30223e-06,2.37481e-06,8.17678e-09,,6.51403e-12,1.35075e-10,4.75734e-09
force-save-2023.07.02-17.01.37.095.jpk-force,2,2.33264e-06,2.5564e-06,2.69572e-06,1.01855e-09,,1.24851e-11,3.81056e-10,6.69792e-09
force-save-2023.07.02-17.01.37.095.jpk-force,3,2.57556e-06,2.69576e-06,2.96893e-06,2.02075e-10,,2.19503e-11,6.14973e-10,5.56485e-09
force-save-2023.07.02-17.01.37.095.jpk-force,4,2.70169e-06,2.72626e-06,3.0098e-06,1.88356e-10,,7.15424e-12,6.29972e-10,5.49491e-09
force-save-2023.07.02-17.01.44.791.jpk-force,0,3.53185e-07,3.5061e-06,3.82572e-06,2.03528e-09,,7.86221e-12,7.37873e-11,6.25373e-10
force-save-2023.07.02-17.01.56.429.jpk-force,0,8.23571e-08,8.21673e-07,1.13489e-06,1.61605e-10,,8.52871e-12,9.56766e-11,7.57519e-10
force-save-2023.07.02-17.02.07.163.jpk-force,0,5.60733e-08,5.59656e-07,6.63921e-07,8.01386e-11,,2.76861e-11,5.51145e-10,1.14443e-08
force-save-2023.07.02-17.02.14.306.jpk-force,0,1.6484e-07,1.62405e-06,2.5033e-06,6.62511e-11,,9.3222e-12,1.50689e-10,4.42085e-10
force-save-2023.07.02-17.02.28.834.jpk-force,0,1.87491e-07,1.84347e-06,2.12191e-06,1.28225e-10,,2.4381e-11,4.85957e-10,4.49956e-09
force-save-2023.07.02-17.02.28.834.jpk-force,1,1.88107e-06,1.96669e-06,2.3444e-06,8.38478e-11,,1.03286e-11,5.01764e-10,3.44441e-09
force-save-2023.07.02-17.02.28.834.jpk-force,2,1.97478e-06,1.99927e-06,2.37844e-06,8.17496e-11,,5.94369e-12,5.25054e-10,3.58397e-09
force-save-2023.07.02-17.02.32.721.jpk-force,0,1.32954e-07,1.31529e-06,1.63588e-06,1.42443e-10,,1.56211e-11,2.04128e-10,1.68183e-09
force-save-2023.07.02-17.02.32.721.jpk-force,1,1.34622e-06,1.52314e-06,2.01868e-06,7.48372e-11,,6.4247e-12,2.55952e-10,1.3467e-09
force-save-2023.07.02-17.02.32.721.jpk-force,2,1.55193e-06,1.59321e-06,2.31969e-06,6.43918e-11,,5.49589e-12,1.90869e-10,6.84071e-10
force-save-2023.07.02-17.02.32.721.jpk-force,3,1.83429e-06,3.89976e-06,4.22284e-06,9.20019e-10,,1.25035e-11,1.94115e-10,1.672e-09
force-save-2023.07.02-17.02.43.804.jpk-force,0,9.52273e-08,9.50507e-07,1.18392e-06,5.567e-11,,2.28447e-11,5.16467e-10,5.44858e-09
force-save-2023.07.02-17.02.43.804.jpk-force,1,9.5629e-07,9.94041e-07,1.49431e-06,2.06975e-11,,8.65847e-12,5.26202e-10,2.64399e-09
force-save-2023.07.02-17.02.43.804.jpk-force,2,1.059e-06,1.51191e-06,1.81323e-06,1.40543e-10,,1.04053e-11,2.82254e-10,2.47066e-09
force-save-2023.07.02-17.02.43.804.jpk-force,3,1.55058e-06,1.75837e-06,2.09769e-06,9.17735e-11,,6.83973e-12,4.54954e-10,3.47966e-09
force-save-2023.07.02-17.03.54.663.jpk-force,0,5.5128e-07,5.47395e-06,5.88462e-06,1.07132e-09,,7.35423e-12,1.99851e-10,1.3387e-09
force-save-2023.07.02-17.05.07.949.jpk-force,0,3.45711e-07,3.4441e-06,9158.86,4.06576e-20,,2.50237e-11,5.60114e-11,2.1939e-11
force-save-2023.07.02-17.05.07.949.jpk-force,1,3.50472e-06,3.9025e-06,4.46366e-06,7.27873e-10,,8.34017e-12,9.29871e-11,4.28568e-10
force-save-2023.07.02-17.05.07.949.jpk-force,2,3.9244e-06,4.08442e-06,4.35332e-06,1.13549e-09,,7.83606e-12,2.40039e-10,2.28491e-09
force-save-2023.07.02-17.05.07.949.jpk-force,3,4.10431e-06,4.22902e-06,4.42969e-06,2.36579e-09,,7.16408e-12,2.13185e-10,2.70885e-09
force-save-2023.07.02-17.05.27.355.jpk-force,0,2.6127e-07,2.59792e-06,3.05169e-06,2.3789e-10,,1.54818e-11,2.0606e-10,1.13591e-09
force-save-2023.07.02-17.05.27.355.jpk-force,1,2.72977e-06,3.69945e-06,5.3538e-06,5.24138e-11,,2.08101e-11,2.40263e-10,3.49667e-10
force-save-2023.07.02-17.05.27.355.jpk-force,2,3.79657e-06,4.05704e-06,5.19224e-06,8.07343e-11,,1.19987e-11,2.9376e-10,6.33667e-10
force-save-2023.07.02-17.05.27.355.jpk-force,3,4.12092e-06,4.66937e-06,5.15932e-06,1.23885e-10,,2.26148e-11,9.42887e-10,4.60352e-09
force-save-2023.07.02-17.05.32.225.jpk-force,0,3.24816e-07,3.08211e-06,3.75152e-06,4.22917e-10,,8.4398e-12,8.19888e-11,3.05052e-10
force-save-2023.07.02-17.05.46.778.jpk-force,0,3.5429e-07,3.48212e-06,3.72674e-06,5.43499e-10,,1.71136e-11,4.44665e-10,4.35342e-09
force-save-2023.07.02-17.05.46.778.jpk-force,1,3.55408e-06,3.64645e-06,4.21531e-06,1.23905e-10,,1.31067e-11,4.7649e-10,2.04379e-09
force-save-2023.07.02-17.05.46.778.jpk-force,2,3.66752e-06,3.73093e-06,3.97516e-06,1.84849e-09,,5.46583e-12,1.49012e-10,1.54748e-09
force-save-2023.07.02-17.05.46.778.jpk-force,3,3.78669e-06,3.8941e-06,4.33191e-06,1.01648e-09,,5.19242e-12,1.01744e-10,5.91907e-10
force-save-2023.07.02-17.05.46.778.jpk-force,4,3.91705e-06,4.08871e-06,4.31552e-06,1.84927e-09,,5.87291e-12,2.03029e-10,2.2453e-09
force-save-2023.07.02-17.05.46.778.jpk-force,5,4.09332e-06,4.10078e-06,4.3236e-06,2.29518e-09,,6.65543e-12,1.70076e-10,1.92704e-09
force-save-2023.07.02-17.06.26.354.jpk-force,0,1.3331e-07,1.12989e-06,1.43753e-06,6.82784e-10,,8.88425e-12,3.61421e-11,3.35525e-10
force-save-2023.07.02-17.06.26.354.jpk-force,1,1.74473e-06,5.43495e-06,5.5976e-06,9.26459e-09,,8.33713e-12,1.31879e-10,2.40475e-09
force-save-2023.07.02-17.06.59.960.jpk-force,0,9.99538e-08,9.93312e-07,2.43156e-06,3.04399e-11,,8.03658e-12,1.18066e-10,2.95333e-10
force-save-2023.07.02-17.06.59.960.jpk-force,1,1.02092e-06,1.22186e-06,2.13669e-06,6.51962e-11,,5.86609e-12,1.06428e-10,3.38327e-10
force-save-2023.07.02-17.06.59.960.jpk-force,2,1.39594e-06,2.80856e-06,3.74303e-06,1.29514e-10,,1.24254e-11,1.43385e-10,4.36339e-10
force-save-2023.07.02-17.06.59.960.jpk-force,3,2.9074e-06,3.09494e-06,3.95157e-06,2.10263e-10,,5.27479e-12,1.14586e-10,3.85127e-10
force-save-2023.07.02-17.07.57.927.jpk-force,0,3.98041e-07,3.96957e-06,4.13656e-06,1.50119e-08,,9.16939e-12,4.22594e-11,7.55982e-10
force-save-2023.07.02-17.08.36.310.jpk-force,0,4.16329e-07,4.14352e-06,4.23979e-06,4.44607e-08,,7.0492e-12,4.49644e-11,1.3731e-09
force-save-2023.07.02-17.08.36.310.jpk-force,1,4.28394e-06,5.35546e-06,5.86721e-06,4.19404e-10,,2.11428e-11,3.29048e-10,1.84329e-09
force-save-2023.07.02-17.08.36.310.jpk-force,2,5.40028e-06,5.60748e-06,5.90739e-06,7.68648e-09,,4.94507e-12,5.23173e-11,5.17412e-10
force-save-2023.07.02-17.09.24.548.jpk-force,0,4.97556e-07,4.9572e-06,5.24198e-06,4.26733e-09,,6.60478e-12,8.23807e-11,8.39556e-10
force-save-2023.07.02-17.09.24.548.jpk-force,1,4.99186e-06,5.19558e-06,5.58145e-06,3.81079e-09,,4.90966e-12,5.72376e-11,4.31589e-10
force-save-2023.07.02-17.12.36.061.jpk-force,0,3.33126e-07,3.1624e-06,3.82533e-06,1.23485e-09,,8.11731e-12,2.96714e-11,1.24399e-10
force-save-2023.07.02-17.12.40.960.jpk-force,0,5.37157e-07,5.3569e-06,6.135e-06,1.23828e-09,,7.9254e-12,5.37365e-11,1.95737e-10
force-save-2023.07.02-17.13.04.753.jpk-force,0,2.61895e-07,2.59761e-06,3.62517e-06,3.91242e-10,,9.86381e-12,3.76467e-11,9.77517e-11
force-save-2023.07.02-17.13.04.753.jpk-force,1,2.65898e-06,3.00821e-06,3.2173e-06,2.11808e-09,,6.18289e-12,1.1637e-10,1.57494e-09
force-save-2023.07.02-17.13.44.563.jpk-force,0,2.04574e-07,2.01343e-06,2.19483e-06,1.19636e-09,,8.51809e-12,1.2823e-10,1.88848e-09
force-save-2023.07.02-17.13.44.563.jpk-force,1,2.09071e-06,2.47891e-06,2.93839e-06,2.20739e-10,,1.94485e-11,2.01735e-10,1.15147e-09
force-save-2023.07.02-17.13.44.563.jpk-force,2,2.50889e-06,2.55002e-06,2.83437e-06,5.76754e-10,,4.65132e-12,1.81916e-10,1.70315e-09
force-save-2023.07.02-17.13.44.563.jpk-force,3,2.64683e-06,3.36981e-06,4.57802e-06,4.35342e-11,,2.8906e-11,3.85351e-10,8.06995e-10
force-save-2023.07.02-17.13.44.563.jpk-force,4,3.38499e-06,3.48497e-06,3.85134e-06,2.57817e-10,,6.11139e-12,4.51544e-10,3.19816e-09
force-save-2023.07.02-17.13.44.563.jpk-force,5,3.49345e-06,3.53657e-06,4.12196e-06,1.24369e-10,,5.95827e-12,4.30395e-10,1.91431e-09
force-save-2023.07.02-17.13.44.563.jpk-force,6,3.54477e-06,3.59961e-06,4.14994e-06,1.26545e-10,,6.01798e-12,4.8252e-10,2.27745e-09
force-save-2023.07.02-17.13.44.563.jpk-force,7,3.64525e-06,3.91233e-06,4.59448e-06,1.86321e-10,,1.40536e-11,2.63848e-10,1.02054e-09
force-save-2023.07.02-17.13.44.563.jpk-force,8,3.98252e-06,4.51188e-06,5.19941e-06,1.73738e-10,,1.37398e-11,3.53394e-10,1.35804e-09
force-save-2023.07.02-17.13.44.563.jpk-force,9,4.60206e-06,4.84663e-06,5.02651e-06,1.03785e-08,,7.2697e-12,7.77058e-11,1.18464e-09
force-save-2023.07.02-17.13.54.557.jpk-force,0,3.19003e-07,3.18194e-06,3.569e-06,9.09157e-10,,6.9807e-12,9.91415e-11,6.80759e-10
force-save-2023.07.02-17.15.18.697.jpk-force,0,1.68883e-07,8.08824e-07,1.3225e-06,1.96063e-10,,6.43189e-12,4.2383e-11,2.25906e-10
force-save-2023.07.02-17.15.18.697.jpk-force,1,1.76004e-06,2.34466e-06,2.65676e-06,1.3817e-09,,5.19058e-12,5.58569e-11,5.15471e-10
force-save-2023.07.02-17.15.18.697.jpk-force,2,2.38817e-06,2.65615e-06,3.04756e-06,7.1463e-10,,6.14674e-12,9.08834e-11,6.63855e-10
force-save-2023.07.02-17.15.18.697.jpk-force,3,2.71681e-06,3.24172e-06,3.59839e-06,1.40951e-10,,2.32237e-11,7.6216e-10,5.66676e-09
force-save-2023.07.02-17.15.18.697.jpk-force,4,3.25209e-06,3.30963e-06,3.67925e-06,1.5766e-10,,1.23762e-11,6.63709e-10,4.83211e-09
force-save-2023.07.02-17.15.48.246.jpk-force,0,2.30665e-07,2.30254e-06,2.54486e-06,1.94689e-10,,2.09642e-11,5.96825e-10,6.26602e-09
force-save-2023.07.02-17.15.48.246.jpk-force,1,2.32143e-06,2.44023e-06,3.06677e-06,3.93201e-11,,9.67535e-12,6.84176e-10,2.82122e-09
force-save-2023.07.02-17.17.15.993.jpk-force,0,4.06363e-07,3.94919e-06,189.563,9.76968e-18,,7.59766e-12,1.31667e-11,4.58938e-12
force-save-2023.07.02-17.17.54.611.jpk-force,0,1.92133e-07,1.51703e-06,1.68855e-06,2.44768e-09,,1.0804e-11,4.18414e-11,6.38988e-10
force-save-2023.07.02-17.19.56.139.jpk-force,0,1.80399e-07,1.7966e-06,2.0834e-06,4.59434e-10,,1.22788e-11,1.2369e-10,1.1007e-09
force-save-2023.07.02-17.19.56.139.jpk-force,1,1.82896e-06,2.04955e-06,2.27388e-06,4.24788e-10,,7.40176e-12,2.55223e-10,2.85628e-09
force-save-2023.07.02-17.19.56.139.jpk-force,2,2.06284e-06,2.13901e-06,2.50268e-06,1.76274e-10,,7.12052e-12,2.90602e-10,1.99799e-09
force-save-2023.07.02-17.20.17.137.jpk-force,0,9.63543e-08,9.62047e-07,1.1623e-06,3.12205e-10,,1.27151e-11,1.18661e-10,1.46444e-09
force-save-2023.07.02-17.20.24.278.jpk-force,0,3.27072e-07,1.70239e-06,1.83854e-06,6.45863e-10,,2.47675e-11,2.94847e-10,5.15284e-09
force-save-2023.07.02-17.20.24.278.jpk-force,1,1.71166e-06,1.76533e-06,2.29167e-06,8.02882e-11,,1.57106e-11,2.69661e-10,1.2332e-09
force-save-2023.07.02-17.20.24.278.jpk-force,2,1.79565e-06,1.99551e-06,2.14312e-06,8.77013e-10,,1.782e-11,2.50549e-10,4.13117e-09
force-save-2023.07.02-17.20.24.278.jpk-force,3,2.01916e-06,2.21027e-06,2.44495e-06,2.00936e-10,,1.56171e-11,5.69304e-10,5.66503e-09
force-save-2023.07.02-17.20.24.278.jpk-force,4,2.26121e-06,2.59147e-06,3.02914e-06,1.8021e-10,,2.00411e-11,2.87379e-10,1.62758e-09
force-save-2023.07.02-17.20.24.278.jpk-force,5,2.62061e-06,2.81172e-06,3.07327e-06,2.99074e-10,,1.50825e-11,4.84226e-10,4.45147e-09
force-save-2023.07.02-17.20.24.278.jpk-force,6,2.83802e-06,3.05197e-06,3.54539e-06,5.93189e-11,,9.29991e-12,9.38094e-10,4.46605e-09
force-save-2023.07.02-17.21.06.744.jpk-force,0,2.44577e-07,2.44009e-06,2.70995e-06,3.8315e-10,,4.4835e-11,2.77851e-10,2.46554e-09
force-save-2023.07.02-17.29.38.039.jpk-force,0,1.954e-07,1.93901e-06,2.38146e-06,1.32658e-10,,1.69899e-11,2.42248e-10,8.89028e-10
force-save-2023.07.02-17.29.38.039.jpk-force,1,1.9621e-06,2.04243e-06,2.28586e-06,3.1093e-10,,7.4633e-12,3.00358e-10,2.00964e-09
force-save-2023.07.02-17.29.38.039.jpk-force,2,2.06603e-06,2.25293e-06,2.6821e-06,9.29814e-11,,1.87862e-11,4.58388e-10,1.71313e-09
force-save-2023.07.02-17.29.38.039.jpk-force,3,2.26619e-06,2.34017e-06,2.84494e-06,6.37934e-11,,9.11197e-12,5.49391e-10,1.73091e-09
force-save-2023.07.02-17.31.51.894.jpk-force,0,2.51864e-07,2.5152e-06,2.72174e-06,1.65231e-09,,6.97917e-12,1.09835e-10,1.47225e-09
force-save-2023.07.02-17.31.51.894.jpk-force,1,2.55361e-06,2.85947e-06,3.07491e-06,4.0378e-09,,4.93414e-12,5.26145e-11,6.86911e-10
force-save-2023.07.02-17.32.10.135.jpk-force,0,2.7484e-07,2.745e-06,3.01782e-06,8.59932e-10,,8.22514e-12,1.49585e-10,1.52542e-09
force-save-2023.07.02-17.32.16.871.jpk-force,0,2.64714e-07,2.63318e-06,2.75027e-06,1.4974e-08,,9.29197e-12,3.81099e-11,9.31672e-10
force-save-2023.07.02-17.42.22.617.jpk-force,0,8.53371e-08,8.42525e-07,1.20918e-06,1.90915e-10,,8.83115e-12,6.82593e-11,4.67359e-10
force-save-2023.07.02-17.43.52.522.jpk-force,0,3.36566e-07,3.36662e-06,4.06807e-06,9.20925e-11,,2.15621e-11,4.01671e-10,1.45223e-09
force-save-2023.07.02-17.43.52.522.jpk-force,1,3.3951e-06,3.60523e-06,4.79188e-06,4.59799e-11,,5.58189e-12,4.09945e-10,8.59536e-10
force-save-2023.07.02-17.45.36.309.jpk-force,0,3.68199e-07,3.66223e-06,3.88036e-06,8.53604e-09,,8.12359e-12,3.84849e-11,4.7105e-10
force-save-2023.07.02-17.46.25.610.jpk-force,0,3.96855e-08,3.94818e-07,4.87733e-07,2.12125e-10,,1.10805e-11,1.44535e-10,3.58891e-09
force-save-2023.07.02-17.46.25.610.jpk-force,1,4.17379e-07,5.8156e-07,1.20588e-06,2.55142e-11,,9.1248e-12,1.87951e-10,8.00431e-10
force-save-2023.07.02-17.46.25.610.jpk-force,2,6.51237e-07,1.03871e-06,1.63247e-06,7.96699e-11,,9.13588e-12,1.17599e-10,4.71557e-10
force-save-2023.07.02-17.55.58.608.jpk-force,0,2.45359e-07,2.45015e-06,2.60917e-06,9.34995e-09,,9.15054e-12,2.99349e-11,4.9912e-10
force-save-2023.07.02-17.56.49.883.jpk-force,0,2.65365e-07,2.64328e-06,2.90694e-06,3.24801e-09,,8.9801e-12,3.9351e-11,3.99266e-10
