Filename	Index	X Min [m]	X Max [m]	Contour Length [m]	Bending Length [m]	Stretch Modulus	Residual RMS [N]	Breaking Force [N]	Critical Loading Rate [N/s]
force-save-2023.07.02-15.36.53.926.jpk-force	0	2.07012e-09	1.53480e-08	5.18126e-08	4.25306e-11		8.84865e-12	5.33259e-11	5.82276e-09
force-save-2023.07.02-15.36.53.926.jpk-force	1	1.82296e-08	2.95678e-08	5.67203e-08	8.66945e-11		8.16286e-12	6.46807e-11	5.94335e-09
force-save-2023.07.02-15.36.53.926.jpk-force	2	3.55083e-08	5.91596e-08	9.83876e-08	7.79230e-11		8.24510e-12	1.01634e-10	6.08029e-09
force-save-2023.07.02-15.36.53.926.jpk-force	3	6.37197e-08	8.05099e-08	1.24406e-07	8.35217e-11		1.02027e-11	1.18540e-10	6.23098e-09
force-save-2023.07.02-15.36.53.926.jpk-force	4	8.54986e-08	1.03228e-07	1.36126e-07	7.16247e-11		1.06597e-11	2.75219e-10	1.58492e-08
force-save-2023.07.02-15.36.53.926.jpk-force	5	1.05521e-07	1.13022e-07	1.87131e-07	2.62727e-11		5.22064e-12	3.05207e-10	9.08618e-09
force-save-2023.07.02-15.36.53.926.jpk-force	6	1.34249e-07	1.65219e-07	3.39070e-07	7.15499e-11		7.15463e-12	6.83615e-11	1.11685e-09
force-save-2023.07.02-15.36.53.926.jpk-force	7	2.00664e-07	3.70606e-07	7.17239e-07	8.07886e-11		8.76881e-12	6.81273e-11	5.44599e-10
force-save-2023.07.02-15.36.53.926.jpk-force	8	3.73989e-07	3.82985e-07	4.86057e-07	4.99515e-10		5.27553e-12	5.02471e-11	1.26289e-09
force-save-2023.07.02-15.36.53.926.jpk-force	9	4.19366e-07	7.11742e-07	1.00884e-06	1.81802e-10		7.16741e-12	7.55834e-11	6.50851e-10
force-save-2023.07.02-15.37.05.938.jpk-force	0	3.60991e-10	1.35766e-07	3.24948e-07	6.75046e-11		6.96815e-12	5.52101e-11	9.25942e-10
force-save-2023.07.02-15.37.05.938.jpk-force	1	1.77012e-07	5.27479e-07	5.86863e-07	8.35268e-10		1.76492e-11	1.23526e-10	5.23436e-09
force-save-2023.07.02-15.37.12.806.jpk-force	0	1.73641e-12	1.66953e-08	1.93091e-08	1.82318e-09		9.11002e-12	3.21927e-11	2.11460e-08
force-save-2023.07.02-15.37.12.806.jpk-force	1	2.64142e-08	9.85244e-08	1.45114e-07	2.04752e-10		9.68736e-12	5.73851e-11	3.00113e-09
force-save-2023.07.02-15.37.12.806.jpk-force	2	1.27727e-07	3.66212e-07	4.53559e-06	1.39711e-11		9.25802e-12	3.72973e-11	1.51162e-10
force-save-2023.07.02-15.37.12.806.jpk-force	3	3.81825e-07	4.51788e-07	5.08002e-07	9.42768e-10		6.01424e-12	9.19349e-11	4.18279e-09
force-save-2023.07.02-15.37.19.694.jpk-force	0	7.93899e-11	6.51028e-08	9.22603e-08	1.74216e-10		8.19754e-12	7.89402e-11	6.61282e-09
force-save-2023.07.02-15.37.19.694.jpk-force	1	9.75646e-08	2.41979e-07	2.89461e-07	7.22741e-10		7.30616e-12	5.62530e-11	3.01913e-09
force-save-2023.07.02-15.37.38.180.jpk-force	0	9.36180e-09	8.17589e-08	664.800	6.77626e-21		1.65720e-11	1.18348e-10	1.98907e-09
force-save-2023.07.02-15.37.38.180.jpk-force	1	1.83454e-07	7.58985e-07	100.909	1.44504e-18		9.70051e-12	3.21474e-11	6.02373e-11
force-save-2023.07.02-15.37.38.180.jpk-force	2	1.31423e-06	4.18624e-06	4.23625e-06	1.38257e-07		7.06069e-12	5.34352e-11	2.88755e-09
force-save-2023.07.02-15.38.03.924.jpk-force	0	2.85835e-09	2.62064e-08	5.50392e-08	9.40426e-11		9.80675e-12	4.97738e-11	4.63385e-09
force-save-2023.07.02-15.40.33.365.jpk-force	0	2.05053e-07	2.04349e-06	2.12067e-06	3.53513e-09		1.47693e-11	2.20562e-10	7.15407e-09
force-save-2023.07.02-18.01.27.592.jpk-force	0	1.32768e-08	1.27944e-07	2.83345e-07	2.26786e-11		6.91015e-12	1.87442e-10	3.10956e-09
force-save-2023.07.02-18.02.09.934.jpk-force	0	4.82428e-09	4.78460e-08	3.34331e-07	5.00593e-12		7.30903e-12	1.92081e-10	5.06056e-09
force-save-2023.07.02-18.02.14.136.jpk-force	0	4.20624e-09	3.81195e-08	8.91742e-08	5.84405e-11		7.62806e-12	6.62226e-11	3.43591e-09
force-save-2023.07.02-18.03.52.119.jpk-force	0	3.75677e-08	3.64801e-07	4.60469e-07	7.26220e-10		6.96924e-12	3.59026e-11	8.49400e-10
force-save-2023.07.02-18.04.21.803.jpk-force	0	3.07149e-09	2.54038e-08	0.767825	2.40388e-18		6.45447e-12	8.49954e-11	3.79529e-09
force-save-2023.07.02-18.05.37.749.jpk-force	0	1.92053e-07	1.87632e-06	2.08057e-06	1.79535e-09		7.93005e-12	6.09709e-11	7.03474e-10
force-save-2023.07.02-18.05.54.608.jpk-force	0	1.02402e-08	1.00746e-07	3.45531e-07	1.14830e-11		6.77141e-12	1.93470e-10	2.87329e-09
force-save-2023.07.02-18.05.54.608.jpk-force	1	1.14161e-07	2.17213e-07	4.14337e-07	1.86430e-11		2.37443e-11	3.04430e-10	3.42022e-09
force-save-2023.07.02-18.05.54.608.jpk-force	2	2.25666e-07	2.35417e-07	4.00707e-07	2.47233e-11		7.10815e-12	3.00824e-10	3.80656e-09
force-save-2023.07.02-18.05.54.608.jpk-force	3	2.77341e-07	5.21588e-07	6.40630e-07	4.11441e-10		1.17033e-11	7.80816e-11	1.46201e-09
force-save-2023.07.02-18.06.36.831.jpk-force	0	1.36959e-08	1.24587e-07	2.21465e-07	1.13301e-10		8.80668e-12	5.88215e-11	1.35265e-09
force-save-2023.07.02-18.06.41.059.jpk-force	0	1.93717e-12	3.18007e-07	5.65178e-07	2.28780e-11		1.16076e-11	2.91445e-10	2.55853e-09
force-save-2023.07.02-18.06.41.059.jpk-force	1	3.49653e-07	6.05858e-07	8.50295e-07	2.04149e-11		1.00932e-11	7.03244e-10	5.62246e-09
force-save-2023.07.02-18.07.05.911.jpk-force	0	1.75540e-08	1.66099e-07	1.94106e-07	1.28456e-09		9.07900e-12	4.04217e-11	3.19427e-09
force-save-2023.07.02-18.12.24.093.jpk-force	0	1.20387e-07	1.19746e-06	1.35627e-06	8.21768e-10		8.65878e-12	9.45045e-11	1.30115e-09
force-save-2023.07.02-18.14.34.440.jpk-force	0	1.04515e-07	1.01113e-06	1.11538e-06	2.99194e-09		8.29944e-12	4.02807e-11	8.66920e-10
force-save-2023.07.02-18.17.24.480.jpk-force	0	1.04449e-08	1.02783e-07	2.59565e-07	1.00128e-10		6.20447e-12	3.41725e-11	5.72659e-10
